season,week,game_id,youtube_url,source,note
2026,week-1,2026-04-24-CAR-SD,https://www.youtube.com/watch?v=TY7WdnObrKw,YouTube oEmbed,LIVE Friday Night Frisbee | Carolina Flyers vs San Diego Growlers | April 24 2026
2026,week-8,2026-06-12-MIN-OAK,https://www.youtube.com/watch?v=hhaebHej8i0,Youtube oEmbed,LIVE Friday Night Frisbee | Minnesota Wind Chill vs Oakland Spiders | June 12 2026
 
