season,player,team_id,throw_attempts_for_rate,ThrowAttempts,Completions,Throwaways,Stalls,completion_percentage,xcp,cpoe,lag_contribution_per_throw,lag_contribution,thrower_aec_per_throw,thrower_aec,total_aec_per_throw,total_aec,receiver_aec,YardsThrown,Assists,HockeyAssists,hucks_thrown,huck_attempt_percentage
2026,Dylan Hawkins,flyers,318,318,306,9,0,0.971428571428571,0.960194037885681,0.0115040753218665,0.05875992618742673,18.6856565276017,0.041186646905288046,13.0973537158816,0.08764010894968742,27.8695546460006,14.7722009301191,1288,12,18,7,0.0220125786163522
2026,Jacques Nissen,breeze,369,369,352,11,0,0.96969696969697,0.944320503756185,0.0258691981408335,0.05364213442097209,19.7939476013387,0.08759664000067481,32.323160160249,0.1250853577075073,46.1564969940702,13.8333368338212,3331,29,25,17,0.046070460704607
2026,Gordon Larson,windchill,313,313,302,10,0,0.967948717948718,0.947673435417748,0.0203776827931142,0.049949676808163264,15.6342488409551,0.08827126915981086,27.6289072470208,0.10168327879201278,31.8268662619,4.19795901487912,2690,28,23,21,0.0670926517571885
2026,Timothy Elliott,apex,396,396,370,23,1,0.94147582697201,0.960825035780057,-0.0189058438608651,0.04983980715234091,19.736563632327,0.02936772829214924,11.6296204036911,0.06214741131552753,24.6103748809489,12.9807544772577,2782,21,21,9,0.0227272727272727
2026,Adam Miller,hustle,333,333,323,10,0,0.96996996996997,0.959477669232797,0.0104923007371726,0.04919960896364745,16.3834697848946,0.07441942819406276,24.7816695886229,0.10146088749804384,33.7864755368486,9.00480594822569,2227,25,23,9,0.027027027027027
2026,McKay Yorgason,shred,386,386,371,12,1,0.968668407310705,0.964048253167443,0.0048636639310026,0.04916977351494559,18.979532576769,0.04149913238934275,16.0186651022863,0.07660125838955803,29.5680857383694,13.5494206360831,2391,11,21,5,0.0129533678756477
2026,Kyle Henke,sol,300,300,285,12,0,0.95959595959596,0.942003208558159,0.0179967914418407,0.04699776718785333,14.099330156356,0.07534009567301866,22.6020287019056,0.14244809315827733,42.7344279474832,20.1323992455776,2008,31,13,16,0.0533333333333333
2026,Alex Atkins,empire,305,305,296,7,1,0.976897689768977,0.935894205789975,0.0411549745378934,0.04459803449816918,13.6024005219416,0.10139873710182656,30.9266148160571,0.16577063769712785,50.560044497624,19.6334296815669,2697,33,14,25,0.0819672131147541
2026,Brandon Van Deusen,growlers,375,375,358,16,0,0.957219251336898,0.952928928090666,0.0044044052426678,0.0445337889758712,16.7001708659517,0.0580839818954032,21.7814932107762,0.08755132585606026,32.8317471960226,11.0502539852464,2544,15,27,19,0.0506666666666667
2026,Jacob Louie,flyers,322,322,317,5,0,0.984472049689441,0.966002265480223,0.0184697842092176,0.04450614605272298,14.3309790289768,0.06135628341207826,19.7567232586892,0.09348949807076956,30.1036183787878,10.3468951200986,1985,18,21,4,0.0124223602484472
2026,Andrew Roy,breeze,364,364,350,13,0,0.964187327823691,0.961016988065405,0.003268726220309,0.04392079490907967,15.987169346905,0.047202396167467034,17.181672204958,0.08089479286179259,29.4457046016925,12.2640323967345,2930,9,20,5,0.0137362637362637
2026,Ryan Dinger,glory,337,337,326,10,0,0.970238095238095,0.953541477730519,0.0167849317650302,0.04102685875616617,13.826051400828,0.04306100625248902,14.5115591070888,0.07378824990331928,24.8666402174186,10.3550811103298,2294,5,13,12,0.0356083086053412
2026,Thomas Edmonds,glory,340,340,336,4,0,0.988235294117647,0.957606564933626,0.0305239988645936,0.040949971338797055,13.922990255191,0.06617600634021971,22.4998421556747,0.11946519030454411,40.618164703545,18.1183225478703,2043,21,16,8,0.0235294117647059
2026,Austin Taylor,hustle,408,408,389,18,0,0.955773955773956,0.942573170905275,0.0133091820359015,0.03877490766585417,15.8201623276685,0.08823602816754192,36.0002994923571,0.11845618577299902,48.3301237953836,12.3298243030265,3504,42,18,29,0.071078431372549
2026,Enzo Forget,royal,307,307,293,12,1,0.960655737704918,0.959455615900449,0.0014564362168149,0.030743201615639773,9.43816289600141,0.03427202968551336,10.5215131134526,0.07326133166129739,22.4912288200183,11.9697157065657,1877,12,15,14,0.0456026058631922
2026,Tobe Decraene,glory,407,407,386,18,1,0.955445544554455,0.945290183065476,0.0077962366876107,0.025876291472214742,10.5316506291914,0.05826135487374865,23.7123714336157,0.13562206393275847,55.1981800206327,31.485808587017,2319,47,24,12,0.0294840294840295
