type,line,time,puller,pullX,pullY,pullMs,thrower,throwerX,throwerY,receiver,receiverX,receiverY,defender,turnoverX,turnoverY,team_side
1,"['zarmstron', 'ktong', 'tpuckrin', 'khuang', 'orobinson', 'jmcclean', 'cchan']",520.0,,,,,,,,,,,,,,home
7,,,zarmstron,9.57,104.07,6079.0,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",579.0,,,,,,,,,,,,,,home
18,,,,,,,aturcotte,0.0,40.0,aodonnell,-9.85,38.23,,,,home
18,,,,,,,aodonnell,-9.85,38.23,rpoloz,-6.63,33.29,,,,home
18,,,,,,,rpoloz,-6.63,33.29,aodonnell,-16.03,34.32,,,,home
18,,,,,,,aodonnell,-16.03,34.32,rpoloz,-14.25,44.96,,,,home
18,,,,,,,rpoloz,-14.25,44.96,ckennedy,-21.39,63.77,,,,home
18,,,,,,,ckennedy,-21.39,63.77,aodonnell,-10.54,64.94,,,,home
18,,,,,,,aodonnell,-10.54,64.94,aturcotte,-15.35,72.76,,,,home
18,,,,,,,aturcotte,-15.35,72.76,ostonehou,-10.27,64.66,,,,home
18,,,,,,,ostonehou,-10.27,64.66,aturcotte,-17.41,71.12,,,,home
18,,,,,,,aturcotte,-17.41,71.12,rcarvalho,-2.58,67.41,,,,home
22,,,,,,,rcarvalho,-2.58,67.41,,,,,6.41,91.02,home
16,,,,,,,,,,,,,,,,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,aturcotte,0.78,19.77,ostonehou,8.95,38.64,,,,home
18,,,,,,,ostonehou,8.95,38.64,rcarvalho,1.88,43.93,,,,home
18,,,,,,,rcarvalho,1.88,43.93,rpoloz,0.3,37.62,,,,home
18,,,,,,,rpoloz,0.3,37.62,aturcotte,-12.6,41.05,,,,home
18,,,,,,,aturcotte,-12.6,41.05,ckennedy,-10.54,49.97,,,,home
17,,,,,,,,,,,,,,,,home
18,,,,,,,ckennedy,-10.54,59.97,rpoloz,-9.92,68.78,,,,home
18,,,,,,,rpoloz,-9.92,68.78,ostonehou,-13.42,76.61,,,,home
18,,,,,,,ostonehou,-13.42,76.61,rpoloz,-17.27,84.02,,,,home
18,,,,,,,rpoloz,-17.27,84.02,ostonehou,-19.6,91.02,,,,home
24,,,,,,,ostonehou,-19.6,91.02,,,,,,,home
5,"['ostonehou', 'zarmstron', 'dmiller2', 'khuang', 'bklar', 'aturcotte', 'amuraoka']",709.0,,,,,,,,,,,,,,home
13,,,,,,,,,,,,,,,,home
28,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",0.0,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,1.06,9.74,aturcotte,0.65,23.89,,,,home
18,,,,,,,aturcotte,0.65,23.89,rpoloz,-18.57,34.11,,,,home
18,,,,,,,rpoloz,-18.57,34.11,ostonehou,-19.88,60.68,,,,home
18,,,,,,,ostonehou,-19.88,60.68,aodonnell,-9.92,35.28,,,,home
18,,,,,,,aodonnell,-9.92,35.28,rcarvalho,-17.06,46.68,,,,home
18,,,,,,,rcarvalho,-17.06,46.68,gmckee,-21.66,54.3,,,,home
18,,,,,,,gmckee,-21.66,54.3,ostonehou,-12.6,65.42,,,,home
22,,,,,,,ostonehou,-12.6,65.42,,,,,-12.33,66.38,home
13,,,,,,,,,,,,,,,,home
3,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",70.0,,,,,,,,,,,,,,home
18,,,,,,,lcomire,-22.14,19.83,amuraoka,-20.84,34.94,,,,home
18,,,,,,,amuraoka,-20.84,34.94,kjay,-11.23,31.71,,,,home
18,,,,,,,kjay,-11.23,31.71,amuraoka,14.58,45.51,,,,home
18,,,,,,,amuraoka,14.58,45.51,lcomire,3.67,48.67,,,,home
18,,,,,,,lcomire,3.67,48.67,asehgal,7.44,59.1,,,,home
19,,,,,,,asehgal,7.44,59.1,amuraoka,19.11,114.85,,,,home
1,"['zarmstron', 'ktong', 'tpuckrin', 'khuang', 'orobinson', 'jmcclean', 'cchan']",98.0,,,,,,,,,,,,,,home
8,,,zarmstron,,,,,,,,,,,,,home
16,,,,,,,,,,,,,,,,home
17,,,,,,,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",183.0,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,3.53,2.12,aturcotte,-7.32,6.79,,,,home
18,,,,,,,aturcotte,-7.32,6.79,aodonnell,-0.04,7.96,,,,home
18,,,,,,,aodonnell,-0.04,7.96,rpoloz,-15.62,9.06,,,,home
18,,,,,,,rpoloz,-15.62,9.06,ckennedy,-5.81,18.32,,,,home
18,,,,,,,ckennedy,-5.81,18.32,rpoloz,1.47,12.9,,,,home
18,,,,,,,rpoloz,1.47,12.9,aodonnell,8.2,21.83,,,,home
18,,,,,,,aodonnell,8.2,21.83,aturcotte,3.6,30.27,,,,home
22,,,,,,,aturcotte,3.6,30.27,,,,,5.25,78.81,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,11.63,73.04,ostonehou,-2.99,72.9,,,,home
18,,,,,,,ostonehou,-2.99,72.9,rpoloz,-14.25,76.13,,,,home
19,,,,,,,rpoloz,-14.25,76.13,aturcotte,-18.37,111.55,,,,home
1,"['amuraoka', 'kjay', 'ktong', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",244.0,,,,,,,,,,,,,,home
9,,,amuraoka,,,,,,,,,,,,,home
15,,,,,,,,,,,,,,,,home
2,"['ostonehou', 'rcarvalho', 'rpoloz', 'aodonnell', 'ckennedy', 'aturcotte', 'gmckee']",256.0,,,,,,,,,,,,,,home
18,,,,,,,aodonnell,-0.11,20.0,aturcotte,-0.45,16.75,,,,home
18,,,,,,,aturcotte,-0.45,16.75,ostonehou,9.02,25.6,,,,home
22,,,,,,,ostonehou,9.02,25.6,,,,,26.66,47.98,home
5,"['zarmstron', 'ktong', 'tpuckrin', 'khuang', 'orobinson', 'jmcclean', 'cchan']",304.0,,,,,,,,,,,,,,home
11,,,,,,,,,,,,,jmcclean,,,home
18,,,,,,,tpuckrin,15.82,20.11,cchan,20.14,33.29,,,,home
3,"['amuraoka', 'kjay', 'ostonehou', 'lcomire', 'dmiller2', 'bklar', 'asehgal']",340.0,,,,,,,,,,,,,,home
18,,,,,,,lcomire,20.14,33.29,kjay,20.76,24.16,,,,home
18,,,,,,,kjay,20.76,24.16,amuraoka,12.04,7.96,,,,home
18,,,,,,,amuraoka,12.04,7.96,dmiller2,16.43,19.29,,,,home
18,,,,,,,dmiller2,16.43,19.29,amuraoka,18.01,34.87,,,,home
22,,,,,,,amuraoka,18.01,34.87,,,,,21.1,97.34,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,amuraoka,22.47,19.42,kjay,21.93,34.66,,,,home
18,,,,,,,kjay,21.93,34.66,amuraoka,17.12,37.13,,,,home
18,,,,,,,amuraoka,17.12,37.13,kjay,10.87,26.63,,,,home
18,,,,,,,kjay,10.87,26.63,bklar,-17.34,44.75,,,,home
18,,,,,,,bklar,-17.34,44.75,kjay,-8.55,32.81,,,,home
18,,,,,,,kjay,-8.55,32.81,lcomire,-3.68,25.26,,,,home
18,,,,,,,lcomire,-3.68,25.26,dmiller2,4.42,36.31,,,,home
18,,,,,,,dmiller2,4.42,36.31,amuraoka,6.55,50.25,,,,home
18,,,,,,,amuraoka,6.55,50.25,ostonehou,7.99,18.46,,,,home
18,,,,,,,ostonehou,7.99,18.46,amuraoka,6.69,46.2,,,,home
18,,,,,,,amuraoka,6.69,46.2,lcomire,14.44,51.62,,,,home
18,,,,,,,lcomire,14.44,51.62,amuraoka,4.9,62.26,,,,home
18,,,,,,,amuraoka,4.9,62.26,dmiller2,4.42,65.01,,,,home
18,,,,,,,dmiller2,4.42,65.01,ostonehou,15.61,69.13,,,,home
18,,,,,,,ostonehou,15.61,69.13,dmiller2,14.65,76.88,,,,home
22,,,,,,,dmiller2,14.65,76.88,,,,,13.28,114.09,home
16,,,,,,,,,,,,,,,,home
11,,,,,,,,,,,,,kjay,,,home
22,,,,,,,lcomire,-20.49,19.83,,,,,-25.09,43.11,home
13,,,,,,,,,,,,,,,,home
18,,,,,,,lcomire,23.78,26.7,amuraoka,9.78,22.72,,,,home
18,,,,,,,amuraoka,9.78,22.72,ostonehou,17.6,33.15,,,,home
18,,,,,,,ostonehou,17.6,33.15,asehgal,19.39,53.34,,,,home
