team_id,team_name,regular_season_games,o_line_possessions,goals,turnovers,goal_ending_share,total_aec_per_possession,median_throws
empire,New York Empire,12,257,180,77,0.7003891050583657,0.5920003474728647,8.0
sol,Austin Sol,12,285,171,114,0.6,0.4308809487839792,7.0
windchill,Minnesota Wind Chill,12,266,163,103,0.6127819548872181,0.48637484358180444,8.0
spiders,Oakland Spiders,12,266,169,97,0.6353383458646616,0.492178257410399,7.0
